text,polyline,mileage_m
104,"615664.321,3400322.379;615664.590,3400328.399;615668.694,3400327.962;615668.679,3400329.672;615677.389,3400328.908;615677.327,3400319.900;615669.181,3400320.089;615669.236,3400322.267;615664.321,3400322.379",63398.437
105,"615691.643,3400265.778;615703.558,3400264.664;615704.303,3400272.707;615697.235,3400273.343;615697.485,3400275.984;615694.754,3400276.237;615694.555,3400273.698;615692.387,3400273.901;615691.643,3400265.778",63397.76
106,"615664.077,3400311.288;615664.321,3400322.379;615669.236,3400322.267;615669.181,3400320.089;615677.327,3400319.900;615677.100,3400310.439;615672.904,3400310.546;615672.890,3400310.035;615668.373,3400310.225;615668.413,3400311.067;615664.077,3400311.288",63402.542
107,"615704.303,3400272.707;615704.665,3400280.798;615688.079,3400282.330;615687.547,3400265.894;615691.643,3400265.778;615692.387,3400273.901;615694.555,3400273.698;615694.754,3400276.237;615697.485,3400275.984;615697.235,3400273.343;615704.303,3400272.707",63398.4
108,"615658.992,3400310.863;615650.821,3400310.874;615650.846,3400323.079;615656.206,3400323.059;615656.186,3400320.501;615659.093,3400320.471;615658.992,3400310.863",63410.829
109,"615658.992,3400310.863;615650.821,3400310.874;615650.846,3400323.079;615656.206,3400323.059;615656.186,3400320.501;615659.093,3400320.471;615658.992,3400310.863",63414.541
110,"615671.472,3400276.167;615672.826,3400264.152;615676.652,3400264.585;615676.791,3400263.391;615682.014,3400264.025;615681.883,3400265.082;615685.679,3400265.514;615684.290,3400277.635;615671.472,3400276.167",63415.886
112,"615653.551,3400264.114;615663.606,3400271.603;615670.201,3400262.739;615660.119,3400255.256;615653.551,3400264.114",63433.016
113,"615646.627,3400273.680;615649.860,3400269.373;615656.369,3400274.258;615653.136,3400278.566;615646.627,3400273.680",63437.631
114,"615641.328,3400265.488;615647.376,3400269.123;615642.425,3400278.297;615640.222,3400277.041;615642.827,3400272.097;615638.823,3400269.401;615641.328,3400265.488",63440.509
116,"615645.371,3400245.081;615652.000,3400250.123;615646.452,3400257.483;615639.707,3400252.502;615645.371,3400245.081",63452.709
119,"615602.231,3400280.602;615602.499,3400286.430;615612.438,3400285.936;615612.142,3400280.092;615602.231,3400280.602",63473.128
120,"615590.714,3400277.888;615599.526,3400277.341;615599.719,3400280.689;615604.731,3400280.363;615604.498,3400277.192;615606.793,3400277.036;615606.145,3400267.712;615590.064,3400268.831;615590.714,3400277.888",63476.598
121,"615590.714,3400277.888;615599.526,3400277.341;615599.719,3400280.689;615604.731,3400280.363;615604.498,3400277.192;615606.793,3400277.036;615606.145,3400267.712;615590.064,3400268.831;615590.714,3400277.888",63482.727
21-1,"618977.808,3402447.935;618973.228,3402444.451;618982.439,3402433.137;618986.825,3402436.921",59456.569
